# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 195, mean observations per image: 4062.3230769230768
1 0.9960677420047592 -0.08000894300550318 0.03332488704729941 0.018359582783041315 0.9237302134332275 -1.829781146327286 2.1957677213282025 1 000015.png
2 0.9899714585464949 -0.10568922260582217 -0.08707748596752594 -0.03469597852601499 2.745758862991865 -1.4987506461506506 1.961720747761607 1 000005.png
3 0.9950165551706733 -0.09601704342474833 -0.02170216578390139 -0.01586815391104457 1.7937153952243166 -1.6320634550756097 1.8747636993506571 1 000010.png
4 0.9905253865250354 -0.0896139976706427 0.09063550897614601 0.05112723915439142 0.32181374036196786 -1.6072816644952146 2.346213194851061 1 000020.png
5 0.9773009860895864 -0.08303988149650256 0.16220887111615756 0.1080529629422119 -0.35864788068252906 -1.2809040409351464 1.9524506546131946 1 000025.png
6 0.9440590741844788 -0.06376618059691767 0.2752646448474918 0.1700462112456803 -2.1724564246692815 -1.6554002092418703 2.6478581588479315 1 000035.png
7 0.931445425963668 -0.05802397838607641 0.30930957847530166 0.1826751790666823 -3.0456052599945043 -1.9723833005968352 3.4891078871043844 1 000040.png
8 0.9635965653516687 -0.07915207710861845 0.2213444486103561 0.12737049501841474 -1.2497415502507856 -1.2121199551054058 2.0351572222554237 1 000030.png
9 0.975178598236558 -0.13513599488971956 0.15084100498418854 0.08950952821855193 -1.8677509998546284 -1.9232397024203536 4.895074724689728 1 000080.png
10 0.9231223079511652 -0.08619266178769766 0.31390780334519863 0.20464095537271615 -3.819304409481896 -1.9975463422026323 3.793589173719385 1 000045.png
11 0.9534421085406978 -0.10509326251083895 0.23719280127996606 0.15376321685389796 -3.0902355866877826 -2.3843196774531066 5.8378750428527155 1 000070.png
12 0.9199075703736596 -0.055162885626372 0.3250227014107458 0.21233784774802567 -4.173438837631515 -2.3520183663536285 4.652548584102366 1 000055.png
13 0.9722186469585655 -0.12061809599479678 0.16888251253054387 0.10826298714711828 -2.909655419208434 -2.244762419092467 5.367599916005261 1 000075.png
14 0.9257991116096922 -0.07874083384394244 0.3045356022286039 0.20965198068114482 -4.135698700400024 -2.5202039454558545 5.256425874501507 1 000060.png
15 0.9362897207322083 -0.11106303645029965 0.27129965951580337 0.19345039553397692 -3.723808490177781 -2.3049517491947213 5.66256915941349 1 000065.png
16 0.9286874691289274 -0.05466412866520275 0.30387147185952407 0.20545935439913207 -4.3043406407872125 -2.030851607565757 3.8483090471115533 1 000050.png
17 0.9640257378339188 -0.09538145228051989 -0.2089700131206616 -0.13374710827146183 3.7406016974880174 -2.333254881471408 3.3529872559893015 1 000115.png
18 0.9777658261516836 -0.10288947473546195 -0.1297700265349402 -0.12863702970644728 2.879770799434759 -2.168730768512475 3.3979226993139875 1 000105.png
19 0.9929880845110426 -0.11611711085639848 0.0221641691048059 0.00047978468814693 0.07492881563593912 -1.547463104023299 3.790469773422989 1 000090.png
20 0.9864891448267799 -0.13025702797599262 0.08895264521973038 0.0442685069796003 -0.9216094093016416 -1.5514789954942723 4.192324711950571 1 000085.png
21 0.9852182277173088 -0.0864227843694869 -0.1179667286298763 -0.08921881557023434 1.7819531603668466 -2.140398572408724 3.5443806403917755 1 000100.png
22 0.9456569058639216 -0.028246659758414443 -0.2607042202587549 -0.19227181838127283 5.371286449066229 -2.6987018053462286 3.6612916003614058 1 000140.png
23 0.9754301828895712 -0.10504475841476979 -0.1578403391729445 -0.11219618695557518 3.7153299341016 -2.1200787993697467 3.064312680443484 1 000110.png
24 0.9477009978391558 -0.027061019655875297 -0.25769885440469537 -0.18633791978113434 5.111476220185408 -2.574015526362082 3.763788450323228 1 000145.png
25 0.9808106616425015 -0.024754788681296606 -0.14729340700922042 -0.12530881332675287 4.816533230091338 -1.7598205778512188 2.4766454368507382 1 000155.png
26 0.9918474907026201 -0.10568290221548853 -0.04068533037599731 -0.058432724208471606 0.9943422582120309 -1.772381280398747 3.685192484408054 1 000095.png
27 0.9484138038949201 -0.05828273007689226 -0.25572084766742925 -0.1781045424030607 4.161305829631592 -2.6012726533954833 3.564020096145159 1 000125.png
28 0.9375058768176945 -0.03606989505861851 -0.28046811722861076 -0.20277901474507778 4.861438029300472 -2.78936157560282 3.762483568151958 1 000135.png
29 0.955032856382978 -0.07493800078596782 -0.24208968299581804 -0.1539127176491824 3.8438940371601937 -2.4868948869611316 3.649820702344467 1 000120.png
30 0.965688568657365 -0.02534462377433104 -0.1986440975092994 -0.16535949000569442 5.012205980812082 -2.202455368796462 3.121598397606356 1 000150.png
31 0.9457434632907242 -0.04887961635678852 -0.2656309933960537 -0.18061079728273588 4.481469513274538 -2.550930479512748 3.497995102647822 1 000130.png
32 0.9867703568241275 -0.01557469285944359 -0.11722961211836437 -0.11090045030610089 4.45973699986 -1.4451294393307499 2.1243358898184965 1 000160.png
33 0.9894677769950164 -0.018659857214493265 -0.10960583596590832 -0.09269244165243282 3.8651309678439425 -0.948731522602944 1.8033731814401879 1 000165.png
34 0.9947713702295196 -0.01315926771688261 -0.07854003069406748 -0.06393917596759092 2.8437628775414856 -0.4804693643497311 1.076900519341546 1 000175.png
